Year,MVP
1960,Wilt Chamberlain
1961,Bill Russell
1962,Bill Russell
1963,Bill Russell
1964,Oscar Robertson
1965,Bill Russell
1966,Wilt Chamberlain
1967,Wilt Chamberlain
1968,Wilt Chamberlain
1969,Wes Unseld
1970,Willis Reed
1971,Kareem Abdul-Jabbar
1972,Kareem Abdul-Jabbar
1973,Dave Cowens
1974,Kareem Abdul-Jabbar
1975,Bob McAdoo
1976,Kareem Abdul-Jabbar
1977,Kareem Abdul-Jabbar
1978,Bill Walton
1979,Moses Malone
1980,Kareem Abdul-Jabbar
1981,Julius Erving
1982,Moses Malone
1983,Moses Malone
1984,Larry Bird
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
